bas-engine-1  | 2026-06-24 12:22:03,554 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:22:03,567 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'file'
bas-engine-1  | 2026-06-24 12:22:03,579 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:22:03,636 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'query'
bas-engine-1  | 2026-06-24 12:22:03,649 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:22:03,824 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'name'
bas-engine-1  | 2026-06-24 12:22:03,835 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:22:03,849 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'q'
bas-engine-1  | 2026-06-24 12:22:03,860 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:22:03,875 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'id'
bas-engine-1  | 2026-06-24 12:22:03,884 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:22:03,954 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'q'
bas-engine-1  | 2026-06-24 12:22:03,965 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:22:04,091 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'user'
bas-engine-1  | 2026-06-24 12:22:04,104 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:22:04,123 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'search'
bas-engine-1  | 2026-06-24 12:22:04,133 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:22:04,233 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'page'
bas-engine-1  | 2026-06-24 12:22:04,245 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:22:04,380 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'file'
bas-engine-1  | 2026-06-24 12:22:04,392 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:22:04,412 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'file'
bas-engine-1  | 2026-06-24 12:22:04,423 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:22:04,434 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'path'
bas-engine-1  | 2026-06-24 12:22:04,445 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:22:04,715 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'input'
bas-engine-1  | 2026-06-24 12:22:04,725 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
bas-engine-1  | 2026-06-24 12:22:04,754 [INFO] secureforge.module.owasp_web: [INFO] [VULNERABILITY] SQLi found in parameter 'query'
bas-engine-1  | 2026-06-24 12:22:04,765 [INFO] secureforge.ws: Broadcasting event to 1 connections: raw_event
